date,product_id,planned_units,actual_units,defect_units,machine_downtime_hrs,operator_notes
2024-01-01,P001,200,186,0,0.0,New batch quality check passed
2024-01-01,P002,120,110,0,0.0,Minor calibration issue resolved by afternoon
2024-01-01,P003,150,102,6,1.1,Power fluctuation caused 2hr halt
2024-01-01,P004,30,30,1,0.0,Minor calibration issue resolved by afternoon
2024-01-01,P005,300,285,0,0.0,Routine maintenance scheduled
2024-01-02,P001,200,197,2,0.0,"Normal shift, no issues"
2024-01-02,P002,120,129,0,0.0,"Normal shift, no issues"
2024-01-02,P003,150,146,0,0.0,Minor calibration issue resolved by afternoon
2024-01-02,P004,30,30,0,0.0,Routine maintenance scheduled
2024-01-02,P005,300,298,0,0.0,Routine maintenance scheduled
2024-01-03,P001,200,211,0,0.0,"Normal shift, no issues"
2024-01-03,P002,120,120,0,0.0,"Normal shift, no issues"
2024-01-03,P003,150,158,0,0.0,Routine maintenance scheduled
2024-01-03,P004,30,28,1,0.0,"Normal shift, no issues"
2024-01-03,P005,300,276,3,0.0,"Overtime run, exceeded target"
2024-01-04,P001,200,209,2,0.0,Routine maintenance scheduled
2024-01-04,P002,120,124,1,0.0,Minor calibration issue resolved by afternoon
2024-01-04,P003,150,143,0,0.0,New batch quality check passed
2024-01-04,P004,30,27,1,0.0,"Normal shift, no issues"
2024-01-04,P005,300,320,4,0.2,Minor calibration issue resolved by afternoon
2024-01-05,P001,200,211,0,0.3,New batch quality check passed
2024-01-05,P002,120,118,0,0.4,New batch quality check passed
2024-01-05,P003,150,152,1,0.0,New batch quality check passed
2024-01-05,P004,30,29,1,0.0,Minor calibration issue resolved by afternoon
2024-01-05,P005,300,291,2,0.0,Routine maintenance scheduled
2024-01-08,P001,200,142,8,2.9,"Machine breakdown, repaired within shift"
2024-01-08,P002,120,88,2,2.9,"Machine breakdown, repaired within shift"
2024-01-08,P003,150,141,1,0.0,"Normal shift, no issues"
2024-01-08,P004,30,28,1,0.0,New batch quality check passed
2024-01-08,P005,300,301,4,0.0,"Overtime run, exceeded target"
2024-01-09,P001,200,187,0,0.0,"Overtime run, exceeded target"
2024-01-09,P002,120,112,0,0.0,"Overtime run, exceeded target"
2024-01-09,P003,150,143,1,0.0,Minor calibration issue resolved by afternoon
2024-01-09,P004,30,31,1,0.0,"Overtime run, exceeded target"
2024-01-09,P005,300,316,0,0.0,Routine maintenance scheduled
2024-01-10,P001,200,185,1,0.0,Minor calibration issue resolved by afternoon
2024-01-10,P002,120,115,1,0.0,New batch quality check passed
2024-01-10,P003,150,151,0,0.0,"Normal shift, no issues"
2024-01-10,P004,30,30,0,0.0,New batch quality check passed
2024-01-10,P005,300,302,3,0.2,Minor calibration issue resolved by afternoon
2024-01-11,P001,200,213,0,0.2,"Overtime run, exceeded target"
2024-01-11,P002,120,115,0,0.0,"Overtime run, exceeded target"
